ANO;CONTINENTE;REGIAO;POPULACAO;LIXO EEE GERADO;EEE NO MERCADO;LIXO EEE COLETADO;LIXO EEE GERADO PER CAPITA;EEE NO MERCADO PER CAPITA;TAXA DE COLETA
2019;África;África oriental;382865000;298;519;4;0.8;1.4;1
2019;África;África Central;80487000;201;272;0;2.5;3.4;0
2019;África;África do Norte;239808000;1301;1965;0;5.4;8.2;0
2019;África;África do Sul;66638000;459;595;20;6.9;8.9;4
2019;África;África Ocidental;381973000;646;1058;2;1.7;2.8;0
2019;América;Caribe;16028000;125;201;1;7.8;12.6;1
2019;América;América Central;175904000;1466;1991;44;8.3;11.3;3
2019;América;América do Norte;367024000;7675;9245;1157;20.9;25.2;15
2019;América;América do Sul;425275000;3854;4765;26;9.1;11.2;1
2019;Ásia;Ásia Central;31219000;220;336;10;7.1;10.8;5
2019;Ásia;Ásia Oriental;1589753000;13699;22572;2713;8.6;14.2;20
2019;Ásia;Sudeste Asiático;655748000;3530;5388;0;5.4;8.2;0
2019;Ásia;Sul da Ásia;1895960000;4846;10118;43;2.6;5.3;1
2019;Ásia;Ásia Ocidental;272134021;2601;3716;155;9.6;13.7;6
2019;Europa;Europa Oriental;288992000;3174;3980;717;11;13.8;23
2019;Europa;Norte da Europa;105225000;2357;2868;1383;22.4;27.3;59
2019;Europa;Sul da Europa;151001000;2525;2670;865;16.7;17.7;34
2019;Europa;Europa Ocidental;194836000;3957;4113;2141;20.3;21.1;54
2019;Oceania;Austrália e Nova Zelândia;30581000;650;791;59;21.3;25.9;9
2019;Oceania;Melanésia;10429000;15;24;0;1.5;2.3;0
2019;Oceania;Micronésia;238000;0;1;0;2;2.4;0
2019;Oceania;Polinésia;313000;1;1;0;3.1;3.3;0
